From_Date,End_Date,SMA,EMA,RSI,SO
2000-06-26,2000-07-17,Infinity,NaN,-82.28585,NaN
2000-06-27,2000-07-18,Infinity,NaN,85.71429,NaN
2000-06-28,2000-07-19,Infinity,NaN,196.57156,NaN
2000-06-29,2000-07-20,Infinity,NaN,97.00012,NaN
2000-06-30,2000-07-21,Infinity,NaN,1337.5,NaN
2000-07-03,2000-07-24,Infinity,NaN,1403.0001,NaN
2000-07-05,2000-07-25,Infinity,NaN,1437.5,NaN
2000-07-06,2000-07-26,Infinity,NaN,1581.0,NaN
2000-07-07,2000-07-27,Infinity,NaN,1665.5001,NaN
2000-07-10,2000-07-28,Infinity,NaN,1818.5,NaN
2000-07-11,2000-07-31,Infinity,NaN,1803.0001,NaN
2000-07-12,2000-08-01,Infinity,NaN,1853.0001,NaN
2000-07-13,2000-08-02,Infinity,NaN,1853.0001,NaN
2000-07-14,2000-08-03,Infinity,NaN,1862.5,NaN
2000-07-17,2000-08-04,Infinity,NaN,1840.5001,NaN
2000-07-18,2000-08-07,Infinity,NaN,1345.2484,NaN
2000-07-19,2000-08-08,Infinity,NaN,2623.669,NaN
2000-07-20,2000-08-09,Infinity,NaN,-Infinity,NaN
2000-07-21,2000-08-10,Infinity,NaN,553.71423,NaN
2000-07-24,2000-08-11,Infinity,NaN,496.57135,NaN
2000-07-25,2000-08-14,Infinity,NaN,-Infinity,NaN
2000-07-26,2000-08-15,Infinity,NaN,-108.69586,NaN
2000-07-27,2000-08-16,Infinity,NaN,-0.0,NaN
2000-07-28,2000-08-17,Infinity,NaN,-500.0,NaN
2000-07-31,2000-08-18,Infinity,NaN,-345.104,NaN
2000-08-01,2000-08-21,Infinity,NaN,-312.12122,NaN
2000-08-02,2000-08-22,Infinity,NaN,-0.0,NaN
2000-08-03,2000-08-23,Infinity,NaN,-4.1667657,NaN
2000-08-04,2000-08-24,Infinity,NaN,-15.96629,NaN
2000-08-07,2000-08-25,Infinity,NaN,36.974716,NaN
2000-08-08,2000-08-28,Infinity,NaN,136.13452,NaN
2000-08-09,2000-08-29,Infinity,NaN,-294.11798,NaN
2000-08-10,2000-08-30,Infinity,NaN,-25.474226,NaN
2000-08-11,2000-08-31,Infinity,NaN,41.037704,NaN
2000-08-14,2000-09-01,Infinity,NaN,14.622714,NaN
2000-08-15,2000-09-05,Infinity,NaN,23.584917,NaN
2000-08-16,2000-09-06,Infinity,NaN,35.42851,NaN
2000-08-17,2000-09-07,Infinity,NaN,49.714226,NaN
2000-08-18,2000-09-08,Infinity,NaN,110.85707,NaN
2000-08-21,2000-09-11,Infinity,NaN,228.57144,NaN
2000-08-22,2000-09-12,Infinity,NaN,292.57138,NaN
2000-08-23,2000-09-13,Infinity,NaN,357.14285,NaN
2000-08-24,2000-09-14,Infinity,NaN,328.57144,NaN
2000-08-25,2000-09-15,Infinity,NaN,239.4285,NaN
2000-08-28,2000-09-18,Infinity,NaN,303.42865,NaN
2000-08-29,2000-09-19,Infinity,NaN,514.2857,NaN
2000-08-30,2000-09-20,Infinity,NaN,1269.8391,NaN
2000-08-31,2000-09-21,Infinity,NaN,1468.2515,NaN
2000-09-01,2000-09-22,Infinity,NaN,1885.7113,NaN
2000-09-05,2000-09-25,Infinity,NaN,1577.7755,NaN
2000-09-06,2000-09-26,Infinity,NaN,607.24646,NaN
2000-09-07,2000-09-27,Infinity,NaN,575.285,NaN
2000-09-08,2000-09-28,Infinity,NaN,9008.414,NaN
2000-09-11,2000-09-29,Infinity,NaN,725.0,NaN
2000-09-12,2000-10-02,Infinity,NaN,410.21924,NaN
2000-09-13,2000-10-03,Infinity,NaN,109.48913,NaN
2000-09-14,2000-10-04,Infinity,NaN,-118.97827,NaN
2000-09-15,2000-10-05,Infinity,NaN,-2.666558,NaN
2000-09-18,2000-10-06,Infinity,NaN,59.692383,NaN
2000-09-19,2000-10-09,Infinity,NaN,176.92307,NaN
2000-09-20,2000-10-10,Infinity,NaN,152.00008,NaN
2000-09-21,2000-10-11,Infinity,NaN,294.46155,NaN
2000-09-22,2000-10-12,Infinity,NaN,330.76923,NaN
2000-09-25,2000-10-13,Infinity,NaN,394.46155,NaN
2000-09-26,2000-10-16,Infinity,NaN,282.7693,NaN
2000-09-27,2000-10-17,Infinity,NaN,346.15387,NaN
2000-09-28,2000-10-18,Infinity,NaN,475.077,NaN
2000-09-29,2000-10-19,Infinity,NaN,398.15393,NaN
2000-10-02,2000-10-20,Infinity,NaN,313.5385,NaN
2000-10-03,2000-10-23,Infinity,NaN,184.61539,NaN
2000-10-04,2000-10-24,Infinity,NaN,204.00005,NaN
2000-10-05,2000-10-25,Infinity,NaN,1964.0,NaN
2000-10-06,2000-10-26,Infinity,NaN,762.99976,NaN
2000-10-09,2000-10-27,Infinity,NaN,409.6774,NaN
2000-10-10,2000-10-30,Infinity,NaN,188.806,NaN
2000-10-11,2000-10-31,Infinity,NaN,96.34828,NaN
2000-10-12,2000-11-01,Infinity,NaN,105.337036,NaN
2000-10-13,2000-11-02,Infinity,NaN,66.57308,NaN
2000-10-16,2000-11-03,Infinity,NaN,94.662964,NaN
2000-10-17,2000-11-06,Infinity,NaN,115.73037,NaN
2000-10-18,2000-11-07,Infinity,NaN,133.42691,NaN
2000-10-19,2000-11-08,Infinity,NaN,107.02246,NaN
2000-10-20,2000-11-09,Infinity,NaN,180.61792,NaN
2000-10-23,2000-11-10,Infinity,NaN,233.42691,NaN
2000-10-24,2000-11-13,Infinity,NaN,1171.4268,NaN
2000-10-25,2000-11-14,Infinity,NaN,405.59998,NaN
2000-10-26,2000-11-15,Infinity,NaN,320.0,NaN
2000-10-27,2000-11-16,Infinity,NaN,355.2002,NaN
2000-10-30,2000-11-17,Infinity,NaN,50.400085,NaN
2000-10-31,2000-11-20,Infinity,NaN,95.200195,NaN
2000-11-01,2000-11-21,Infinity,NaN,-189.59991,NaN
2000-11-02,2000-11-22,Infinity,NaN,-21.142796,NaN
2000-11-03,2000-11-24,Infinity,NaN,-123.70686,NaN
2000-11-06,2000-11-27,Infinity,NaN,-44.444447,NaN
2000-11-07,2000-11-28,Infinity,NaN,-192.55362,NaN
2000-11-08,2000-11-29,Infinity,NaN,-612.00024,NaN
2000-11-09,2000-11-30,Infinity,NaN,24.468174,NaN
2000-11-10,2000-12-01,Infinity,NaN,-28.72332,NaN
2000-11-13,2000-12-04,Infinity,NaN,72.56628,NaN
2000-11-14,2000-12-05,Infinity,NaN,-160.17662,NaN
2000-11-15,2000-12-06,Infinity,NaN,-81.38511,NaN
2000-11-16,2000-12-07,Infinity,NaN,7.7922163,NaN
2000-11-17,2000-12-08,Infinity,NaN,-208.65787,NaN
2000-11-20,2000-12-11,Infinity,NaN,3.9274123,NaN
2000-11-21,2000-12-12,Infinity,NaN,30.737722,NaN
2000-11-22,2000-12-13,Infinity,NaN,2.4589176,NaN
2000-11-24,2000-12-14,Infinity,NaN,-11.656611,NaN
2000-11-27,2000-12-15,Infinity,NaN,-18.115978,NaN
2000-11-28,2000-12-18,Infinity,NaN,86.23196,NaN
2000-11-29,2000-12-19,Infinity,NaN,-31.884298,NaN
2000-11-30,2000-12-20,Infinity,NaN,344.20358,NaN
2000-12-01,2000-12-21,Infinity,NaN,405.79782,NaN
2000-12-04,2000-12-22,Infinity,NaN,267.39172,NaN
2000-12-05,2000-12-26,Infinity,NaN,307.97162,NaN
2000-12-06,2000-12-27,Infinity,NaN,249.27576,NaN
2000-12-07,2000-12-28,Infinity,NaN,221.73938,NaN
2000-12-08,2000-12-29,Infinity,NaN,217.39172,NaN
2000-12-11,2001-01-02,Infinity,NaN,451.26096,NaN
2000-12-12,2001-01-03,Infinity,NaN,231.09271,NaN
2000-12-13,2001-01-04,Infinity,NaN,-36.974716,NaN
2000-12-14,2001-01-05,Infinity,NaN,84.03371,NaN
2000-12-15,2001-01-08,Infinity,NaN,173.61127,NaN
2000-12-18,2001-01-09,Infinity,NaN,229.86142,NaN
2000-12-19,2001-01-10,Infinity,NaN,186.80565,NaN
2000-12-20,2001-01-11,Infinity,NaN,19.047674,NaN
2000-12-21,2001-01-12,Infinity,NaN,8.503405,NaN
2000-12-22,2001-01-16,Infinity,NaN,-0.0,NaN
2000-12-26,2001-01-17,Infinity,NaN,-192.9686,NaN
2000-12-27,2001-01-18,Infinity,NaN,-202.00005,NaN
2000-12-28,2001-01-19,Infinity,NaN,0.835621,NaN
2000-12-29,2001-01-22,Infinity,NaN,64.33334,NaN
2001-01-02,2001-01-23,Infinity,NaN,118.66659,NaN
2001-01-03,2001-01-24,Infinity,NaN,139.3332,NaN
2001-01-04,2001-01-25,Infinity,NaN,339.33322,NaN
2001-01-05,2001-01-26,Infinity,NaN,395.66663,NaN
2001-01-08,2001-01-29,Infinity,NaN,368.66656,NaN
2001-01-09,2001-01-30,Infinity,NaN,406.99997,NaN
2001-01-10,2001-01-31,Infinity,NaN,393.66656,NaN
2001-01-11,2001-02-01,Infinity,NaN,450.33325,NaN
2001-01-12,2001-02-02,Infinity,NaN,427.33322,NaN
2001-01-16,2001-02-05,Infinity,NaN,453.99994,NaN
2001-01-17,2001-02-06,Infinity,NaN,501.9999,NaN
2001-01-18,2001-02-07,Infinity,NaN,548.6666,NaN
2001-01-19,2001-02-08,Infinity,NaN,1081.9996,NaN
2001-01-22,2001-02-09,Infinity,NaN,642.3999,NaN
2001-01-23,2001-02-12,Infinity,NaN,780.79987,NaN
2001-01-24,2001-02-13,Infinity,NaN,-Infinity,NaN
2001-01-25,2001-02-14,Infinity,NaN,833.3333,NaN
2001-01-26,2001-02-15,Infinity,NaN,-100.0,NaN
2001-01-29,2001-02-16,Infinity,NaN,1700.0,NaN
2001-01-30,2001-02-20,Infinity,NaN,2119.9998,NaN
2001-01-31,2001-02-21,Infinity,NaN,983.99994,NaN
2001-02-01,2001-02-22,Infinity,NaN,694.3881,NaN
2001-02-02,2001-02-23,Infinity,NaN,677.626,NaN
2001-02-05,2001-02-26,Infinity,NaN,705.93646,NaN
2001-02-06,2001-02-27,Infinity,NaN,664.3839,NaN
2001-02-07,2001-02-28,Infinity,NaN,703.6534,NaN
2001-02-08,2001-03-01,Infinity,NaN,694.52094,NaN
2001-02-09,2001-03-02,Infinity,NaN,743.7165,NaN
2001-02-12,2001-03-05,Infinity,NaN,417.71426,NaN
2001-02-13,2001-03-06,Infinity,NaN,294.13153,NaN
2001-02-14,2001-03-07,Infinity,NaN,269.24887,NaN
2001-02-15,2001-03-08,Infinity,NaN,296.4789,NaN
2001-02-16,2001-03-09,Infinity,NaN,780.0008,NaN
2001-02-20,2001-03-12,Infinity,NaN,740.0001,NaN
2001-02-21,2001-03-13,Infinity,NaN,1133.3308,NaN
2001-02-22,2001-03-14,Infinity,NaN,1186.1093,NaN
2001-02-23,2001-03-15,Infinity,NaN,1219.4421,NaN
2001-02-26,2001-03-16,Infinity,NaN,1447.2195,NaN
2001-02-27,2001-03-19,Infinity,NaN,947.2206,NaN
2001-02-28,2001-03-20,Infinity,NaN,1308.3308,NaN
2001-03-01,2001-03-21,Infinity,NaN,2005.5515,NaN
2001-03-02,2001-03-22,Infinity,NaN,1661.1082,NaN
2001-03-05,2001-03-23,Infinity,NaN,405.55463,NaN
2001-03-06,2001-03-26,Infinity,NaN,922.2206,NaN
2001-03-07,2001-03-27,Infinity,NaN,1091.6649,NaN
2001-03-08,2001-03-28,Infinity,NaN,1194.9951,NaN
2001-03-09,2001-03-29,Infinity,NaN,394.06784,NaN
2001-03-12,2001-03-30,Infinity,NaN,355.02917,NaN
2001-03-13,2001-04-02,Infinity,NaN,311.24228,NaN
2001-03-14,2001-04-03,Infinity,NaN,433.72733,NaN
2001-03-15,2001-04-04,Infinity,NaN,498.81598,NaN
2001-03-16,2001-04-05,Infinity,NaN,392.3072,NaN
2001-03-19,2001-04-06,Infinity,NaN,587.57324,NaN
2001-03-20,2001-04-09,Infinity,NaN,566.2714,NaN
2001-03-21,2001-04-10,Infinity,NaN,434.91074,NaN
2001-03-22,2001-04-11,Infinity,NaN,309.4672,NaN
2001-03-23,2001-04-12,Infinity,NaN,197.04124,NaN
2001-03-26,2001-04-16,Infinity,NaN,378.49454,NaN
2001-03-27,2001-04-17,Infinity,NaN,248.7397,NaN
2001-03-28,2001-04-18,Infinity,NaN,-336.98663,NaN
2001-03-29,2001-04-19,Infinity,NaN,-66.22685,NaN
2001-03-30,2001-04-20,Infinity,NaN,-125.62472,NaN
2001-04-02,2001-04-23,Infinity,NaN,21.164066,NaN
2001-04-03,2001-04-24,Infinity,NaN,60.84654,NaN
2001-04-04,2001-04-25,Infinity,NaN,74.07403,NaN
2001-04-05,2001-04-26,Infinity,NaN,-30.158663,NaN
2001-04-06,2001-04-27,Infinity,NaN,10.582033,NaN
2001-04-09,2001-04-30,Infinity,NaN,7.9365754,NaN
2001-04-10,2001-05-01,Infinity,NaN,60.897434,NaN
2001-04-11,2001-05-02,Infinity,NaN,-3.2050767,NaN
2001-04-12,2001-05-03,Infinity,NaN,96.63858,NaN
2001-04-16,2001-05-04,Infinity,NaN,109.24373,NaN
2001-04-17,2001-05-07,Infinity,NaN,110.08392,NaN
2001-04-18,2001-05-08,Infinity,NaN,67.22701,NaN
2001-04-19,2001-05-09,Infinity,NaN,38.65563,NaN
2001-04-20,2001-05-10,Infinity,NaN,-65.54598,NaN
2001-04-23,2001-05-11,Infinity,NaN,-48.101345,NaN
2001-04-24,2001-05-14,Infinity,NaN,-26.190498,NaN
2001-04-25,2001-05-15,Infinity,NaN,199.9991,NaN
2001-04-26,2001-05-16,Infinity,NaN,290.4751,NaN
2001-04-27,2001-05-17,Infinity,NaN,52.380997,NaN
2001-04-30,2001-05-18,Infinity,NaN,183.33258,NaN
2001-05-01,2001-05-21,Infinity,NaN,338.09412,NaN
2001-05-02,2001-05-22,Infinity,NaN,-19.047056,NaN
2001-05-03,2001-05-23,Infinity,NaN,320.5133,NaN
2001-05-04,2001-05-24,Infinity,NaN,407.693,NaN
2001-05-07,2001-05-25,Infinity,NaN,305.12833,NaN
2001-05-08,2001-05-29,Infinity,NaN,523.077,NaN
2001-05-09,2001-05-30,Infinity,NaN,1253.848,NaN
2001-05-10,2001-05-31,Infinity,NaN,1458.9763,NaN
2001-05-11,2001-06-01,Infinity,NaN,1266.6683,NaN
2001-05-14,2001-06-04,Infinity,NaN,411.3824,NaN
2001-05-15,2001-06-05,Infinity,NaN,345.07098,NaN
2001-05-16,2001-06-06,Infinity,NaN,306.33832,NaN
2001-05-17,2001-06-07,Infinity,NaN,197.1833,NaN
2001-05-18,2001-06-08,Infinity,NaN,250.00026,NaN
2001-05-21,2001-06-11,Infinity,NaN,299.29617,NaN
2001-05-22,2001-06-12,Infinity,NaN,394.3666,NaN
2001-05-23,2001-06-13,Infinity,NaN,930.2319,NaN
2001-05-24,2001-06-14,Infinity,NaN,621.34863,NaN
2001-05-25,2001-06-15,Infinity,NaN,756.18024,NaN
2001-05-29,2001-06-18,Infinity,NaN,1190.2446,NaN
2001-05-30,2001-06-19,Infinity,NaN,521.21124,NaN
2001-05-31,2001-06-20,Infinity,NaN,650.504,NaN
2001-06-01,2001-06-21,Infinity,NaN,625.2515,NaN
2001-06-04,2001-06-22,Infinity,NaN,553.53436,NaN
2001-06-05,2001-06-25,Infinity,NaN,594.9484,NaN
2001-06-06,2001-06-26,Infinity,NaN,594.9484,NaN
2001-06-07,2001-06-27,Infinity,NaN,539.39307,NaN
2001-06-08,2001-06-28,Infinity,NaN,1943.751,NaN
2001-06-11,2001-06-29,Infinity,NaN,-54.09798,NaN
2001-06-12,2001-07-02,Infinity,NaN,-30.303154,NaN
2001-06-13,2001-07-03,Infinity,NaN,-24.444538,NaN
2001-06-14,2001-07-05,Infinity,NaN,19.480707,NaN
2001-06-15,2001-07-06,Infinity,NaN,154.54543,NaN
2001-06-18,2001-07-09,Infinity,NaN,316.883,NaN
2001-06-19,2001-07-10,Infinity,NaN,349.3505,NaN
2001-06-20,2001-07-11,Infinity,NaN,563.63605,NaN
2001-06-21,2001-07-12,Infinity,NaN,206.49341,NaN
2001-06-22,2001-07-13,Infinity,NaN,129.87006,NaN
2001-06-25,2001-07-16,Infinity,NaN,318.18173,NaN
2001-06-26,2001-07-17,Infinity,NaN,409.0906,NaN
2001-06-27,2001-07-18,Infinity,NaN,499.99976,NaN
2001-06-28,2001-07-19,Infinity,NaN,336.36346,NaN
2001-06-29,2001-07-20,Infinity,NaN,481.818,NaN
2001-07-02,2001-07-23,Infinity,NaN,485.71396,NaN
2001-07-03,2001-07-24,Infinity,NaN,2284.991,NaN
2001-07-05,2001-07-25,Infinity,NaN,698.38794,NaN
2001-07-06,2001-07-26,Infinity,NaN,129.34787,NaN
2001-07-09,2001-07-27,Infinity,NaN,59.782524,NaN
2001-07-10,2001-07-30,Infinity,NaN,85.869446,NaN
2001-07-11,2001-07-31,Infinity,NaN,47.82614,NaN
2001-07-12,2001-08-01,Infinity,NaN,-124.999954,NaN
2001-07-13,2001-08-02,Infinity,NaN,-49.22283,NaN
2001-07-16,2001-08-03,Infinity,NaN,-99.99969,NaN
2001-07-17,2001-08-06,Infinity,NaN,45.000046,NaN
2001-07-18,2001-08-07,Infinity,NaN,-8.333201,NaN
2001-07-19,2001-08-08,Infinity,NaN,191.66649,NaN
2001-07-20,2001-08-09,Infinity,NaN,466.66623,NaN
2001-07-23,2001-08-10,Infinity,NaN,491.66647,NaN
2001-07-24,2001-08-13,Infinity,NaN,399.9997,NaN
2001-07-25,2001-08-14,Infinity,NaN,341.66632,NaN
2001-07-26,2001-08-15,Infinity,NaN,428.333,NaN
2001-07-27,2001-08-16,Infinity,NaN,666.6662,NaN
2001-07-30,2001-08-17,Infinity,NaN,741.6663,NaN
2001-07-31,2001-08-20,Infinity,NaN,898.3327,NaN
2001-08-01,2001-08-21,Infinity,NaN,791.6662,NaN
2001-08-02,2001-08-22,Infinity,NaN,793.3329,NaN
2001-08-03,2001-08-23,Infinity,NaN,2505.577,NaN
2001-08-06,2001-08-24,Infinity,NaN,573.07666,NaN
